LIMIT_BAL;AGE;PAY_0;default_payment
50000;58;0;0
50000;30;0;0
50000;45;2;1
50000;23;0;0
80000;30;0;0
240000;36;1;0
110000;33;1;1
30000;29;1;1
20000;43;0;0
130000;29;0;0
180000;48;-1;0
340000;47;0;0
100000;45;0;0
200000;40;-2;0
30000;45;-2;0
500000;30;-2;0
260000;27;0;0
160000;31;0;0
300000;27;-2;0
20000;40;0;0
70000;29;0;0
80000;25;-1;0
210000;37;0;0
210000;35;0;0
50000;55;0;0
520000;33;0;0
200000;57;0;0
180000;42;0;0
60000;26;-1;0
270000;27;-1;0
230000;30;0;0
190000;33;0;0
50000;28;0;0
20000;23;1;1
40000;38;0;1
130000;36;0;0
50000;49;0;0
30000;49;-1;1
140000;27;0;0
20000;55;1;0
290000;36;1;0
80000;40;0;0
390000;37;0;0
200000;32;0;0
50000;23;0;0
260000;28;1;0
180000;44;0;0
450000;42;-1;0
20000;37;0;0
100000;36;0;0
200000;29;0;0
80000;47;0;0
50000;24;0;0
70000;24;0;0
30000;49;0;0
60000;48;-1;0
90000;23;0;0
40000;25;0;0
170000;42;0;0
50000;24;1;0
300000;28;0;0
400000;33;0;0
120000;29;0;0
340000;40;-2;0
160000;35;0;0
80000;38;-1;0
110000;23;0;0
90000;62;0;0
280000;41;0;0
30000;27;2;1
200000;48;-2;0
210000;27;0;0
30000;29;1;1
380000;30;0;0
300000;39;1;1
60000;26;2;0
200000;44;-2;0
140000;33;-2;0
50000;23;-2;0
50000;23;4;1
120000;50;1;0
640000;36;0;0
30000;24;-1;0
90000;36;0;0
110000;26;0;0
50000;23;-1;0
180000;27;0;0
280000;61;0;0
230000;43;0;0
180000;37;-1;0
150000;40;0;0
230000;34;-1;0
500000;30;-2;0
140000;30;0;0
30000;24;0;0
230000;32;0;0
150000;44;0;0
200000;30;-1;0
120000;31;0;0
70000;24;0;0
90000;24;-2;0
100000;41;0;0
350000;55;-1;0
50000;32;0;0
10000;36;0;0
220000;45;1;0
170000;44;-1;0
360000;36;2;1
120000;30;-1;0
110000;36;0;0
280000;29;-1;0
130000;23;2;1
30000;58;-1;0
230000;44;-1;0
20000;56;2;0
270000;27;0;0
80000;41;0;0
200000;36;0;0
90000;24;0;0
140000;36;-1;0
70000;27;2;1
100000;41;-2;0
30000;47;-2;0
300000;31;0;0
200000;29;0;0
450000;40;1;1
140000;23;2;1
10000;27;0;0
120000;43;-2;0
130000;39;2;0
150000;32;0;0
70000;28;0;0
210000;35;0;0
20000;22;2;1
170000;60;0;0
70000;33;2;1
130000;35;2;1
450000;36;1;0
50000;26;0;0
310000;48;0;0
140000;32;0;0
80000;29;0;0
120000;34;1;0
150000;32;0;0
150000;33;-1;0
130000;34;0;0
50000;26;-1;0
50000;23;0;0
50000;25;0;0
180000;28;0;0
230000;36;-1;0
360000;27;-2;0
280000;52;-1;0
210000;49;1;0
170000;23;-1;0
380000;32;-1;0
30000;40;2;0
50000;52;1;1
80000;27;2;1
230000;37;0;0
230000;61;1;0
430000;43;-1;0
50000;48;3;0
20000;23;0;0
260000;36;-1;0
50000;38;0;0
260000;31;0;0
240000;27;0;0
160000;26;0;0
160000;45;1;0
80000;40;0;0
180000;30;0;0
50000;39;1;1
240000;32;1;0
100000;25;2;1
30000;27;0;0
30000;24;2;1
70000;23;0;0
80000;23;0;0
570000;31;0;0
50000;25;1;1
150000;32;1;0
30000;24;0;0
200000;28;-1;0
50000;25;-1;0
10000;30;0;1
400000;37;-2;0
100000;44;0;0
220000;32;-2;0
180000;53;0;0
230000;36;-2;0
70000;55;0;0
360000;29;-2;0
100000;32;0;0
500000;30;0;0
30000;23;2;1
110000;38;2;1
260000;29;1;0
300000;26;2;1
360000;35;1;0
50000;59;0;0
50000;25;0;0
50000;23;0;0
50000;25;0;0
230000;38;-1;0
90000;33;-1;0
200000;37;-1;0
20000;38;0;0
170000;51;0;0
90000;40;0;0
20000;26;-1;0
20000;51;-1;0
290000;32;1;0
60000;42;0;0
120000;42;-1;0
170000;27;-2;1
100000;28;1;0
260000;36;-1;0
180000;30;0;0
60000;24;0;0
90000;26;2;1
150000;55;-2;1
340000;29;0;0
20000;47;-1;0
20000;25;1;0
100000;39;0;0
20000;53;0;0
130000;30;0;0
180000;25;-2;0
150000;28;-1;0
60000;43;0;0
360000;33;-1;0
300000;32;0;0
20000;37;0;0
100000;32;-1;0
80000;30;0;0
150000;30;0;0
50000;37;0;0
80000;32;-1;0
70000;36;0;0
20000;52;0;0
50000;32;0;0
80000;29;-1;0
30000;43;-1;0
20000;30;2;1
100000;44;0;0
20000;23;0;0
30000;27;0;0
30000;30;3;1
20000;29;-1;0
110000;47;2;1
130000;40;-1;0
220000;25;0;0
20000;48;0;0
140000;27;2;0
210000;28;0;0
20000;48;1;1
50000;24;0;0
30000;49;0;0
20000;39;0;0
230000;43;-1;0
240000;36;-1;0
360000;33;1;0
360000;41;0;0
370000;28;0;0
50000;24;0;0
220000;40;-1;0
130000;28;2;0
80000;26;0;0
70000;25;0;0
100000;32;1;0
200000;27;-2;0
150000;23;0;0
150000;34;-1;0
130000;39;0;0
120000;38;0;0
50000;26;0;0
20000;40;0;0
270000;45;0;0
60000;25;0;0
30000;53;0;0
170000;29;-2;0
20000;26;0;0
400000;32;0;0
50000;54;0;0
140000;26;0;0
260000;30;0;0
380000;31;0;0
50000;24;-2;0
360000;48;0;0
90000;53;0;0
50000;35;2;1
30000;28;-1;0
20000;24;0;0
250000;30;0;0
80000;30;0;0
180000;47;0;0
70000;32;3;1
20000;41;0;0
190000;36;1;1
240000;29;0;0
150000;40;0;0
180000;38;0;0
180000;33;0;0
140000;46;0;0
30000;25;0;0
20000;39;2;1
180000;28;-2;0
60000;57;0;0
500000;38;-2;0
10000;23;0;0
280000;34;0;0
240000;47;1;1
10000;23;-1;0
240000;43;0;0
80000;27;1;0
10000;23;2;1
150000;35;2;1
40000;27;1;0
150000;58;-2;0
10000;34;0;0
20000;53;4;1
80000;24;-1;0
320000;34;-2;0
50000;25;0;0
50000;30;-2;0
250000;32;0;0
360000;30;-1;0
80000;38;0;0
180000;30;0;0
30000;47;2;1
230000;27;-1;0
400000;46;0;0
20000;38;0;0
80000;38;0;0
20000;41;-1;0
50000;23;0;0
450000;46;-1;0
310000;32;-1;0
250000;30;0;0
50000;25;-2;0
240000;31;-1;0
100000;39;-2;0
80000;26;2;1
50000;24;0;0
210000;29;0;0
500000;51;0;0
390000;53;-1;0
80000;25;1;0
20000;39;0;0
50000;33;2;1
430000;32;-2;0
80000;32;-2;0
170000;38;0;0
180000;31;1;0
360000;42;-2;0
230000;52;0;0
50000;43;0;0
70000;26;1;1
170000;30;-1;0
400000;32;1;0
450000;33;-1;0
250000;40;-1;0
260000;36;0;0
110000;34;0;0
200000;34;0;0
240000;36;-1;0
300000;48;2;1
20000;69;0;0
60000;51;1;1
290000;45;-2;0
110000;24;0;0
120000;51;0;0
20000;56;0;0
200000;57;1;0
290000;48;-2;1
480000;39;0;0
200000;29;-1;0
160000;49;-1;0
110000;23;0;0
110000;37;0;0
160000;30;-1;0
440000;29;0;0
30000;28;2;0
260000;34;0;0
100000;35;-1;0
260000;31;0;0
80000;34;1;0
220000;42;1;1
160000;37;2;1
30000;39;1;0
210000;30;-1;0
60000;23;0;0
50000;38;0;0
340000;27;-1;0
180000;40;-1;0
20000;38;0;0
30000;28;0;0
360000;33;-2;1
270000;33;0;0
130000;37;0;0
10000;26;1;1
170000;34;1;0
440000;28;-2;0
310000;32;0;0
20000;23;0;0
400000;30;2;1
80000;25;0;0
200000;29;0;0
120000;35;1;0
90000;43;-2;0
130000;30;0;0
280000;35;-1;0
380000;27;-1;0
220000;39;5;1
200000;34;-1;0
240000;26;0;0
200000;32;0;0
80000;30;2;1
270000;49;-2;0
200000;33;-2;0
110000;50;0;0
80000;24;-1;0
30000;36;-1;0
170000;30;1;0
50000;36;0;0
460000;36;-1;0
70000;25;0;0
200000;51;0;0
70000;24;3;1
190000;30;-1;0
10000;24;2;1
210000;26;1;0
170000;35;0;0
360000;34;-1;0
120000;33;0;0
280000;46;-2;0
80000;25;-1;0
100000;37;1;0
50000;42;0;0
120000;34;-1;0
240000;42;1;0
20000;23;1;1
210000;46;-2;0
80000;26;0;0
80000;32;0;0
100000;25;0;0
220000;58;0;0
50000;32;0;0
20000;39;1;0
250000;28;2;0
200000;36;1;0
200000;42;-1;0
60000;38;2;1
60000;22;0;0
30000;26;2;1
240000;34;-1;0
280000;24;-1;0
200000;29;0;0
50000;26;0;0
50000;39;0;0
90000;31;0;0
70000;47;0;0
180000;43;-1;0
30000;26;0;0
90000;33;0;0
260000;40;-1;0
30000;51;0;0
470000;38;0;1
140000;34;0;0
60000;36;0;0
450000;46;-1;0
500000;36;-2;0
30000;24;-1;0
120000;39;0;0
150000;38;-1;0
30000;39;1;0
40000;24;0;1
200000;29;-2;1
80000;46;2;1
110000;33;0;0
180000;56;-1;0
220000;36;-1;0
500000;34;0;0
30000;35;0;0
20000;47;-1;0
80000;30;0;0
120000;34;0;0
140000;35;-2;0
20000;47;3;1
80000;47;0;0
90000;49;-2;0
60000;23;0;0
60000;33;0;0
220000;50;-2;0
100000;49;-2;0
360000;29;-1;0
10000;22;-1;0
230000;30;0;0
90000;25;0;0
80000;54;0;0
30000;25;-2;0
70000;32;0;0
230000;33;1;0
90000;28;2;1
90000;29;0;0
50000;39;-1;0
130000;30;2;1
190000;44;0;0
160000;45;-1;0
310000;34;-1;0
50000;36;0;0
80000;26;-1;1
260000;52;2;1
50000;26;-1;0
80000;23;1;0
50000;24;0;0
50000;44;0;0
720000;45;0;0
210000;34;-1;0
100000;29;2;1
50000;49;1;0
240000;39;-2;0
180000;43;0;0
200000;28;-1;0
130000;47;2;1
160000;48;0;0
360000;63;1;1
20000;47;0;0
310000;32;0;0
220000;31;-2;0
50000;42;0;0
80000;24;0;0
120000;26;0;0
180000;41;-2;0
90000;27;-1;0
200000;27;2;1
120000;34;1;0
140000;28;0;0
80000;23;0;0
40000;34;-1;0
60000;30;1;0
20000;25;0;0
50000;47;1;1
120000;47;0;0
30000;31;0;0
150000;30;2;0
30000;22;-1;1
200000;54;6;1
50000;22;0;0
80000;35;0;0
120000;28;0;0
230000;46;-1;0
200000;42;0;0
110000;28;1;1
230000;32;1;0
180000;26;-1;0
220000;35;1;0
200000;38;0;0
400000;32;1;0
130000;28;0;0
20000;23;0;0
250000;50;1;0
350000;31;0;0
80000;44;0;0
180000;40;0;0
180000;34;0;0
500000;41;-1;0
180000;31;-2;0
70000;25;-1;0
180000;30;0;0
50000;34;0;0
130000;54;3;1
510000;35;-1;0
50000;24;0;0
30000;31;-1;0
180000;26;3;1
150000;26;0;0
150000;25;0;0
140000;27;0;0
130000;25;1;0
400000;31;-1;0
70000;29;0;0
220000;31;-2;0
50000;25;-1;0
290000;43;0;0
360000;46;-1;0
60000;34;0;0
30000;31;2;0
20000;37;4;1
400000;37;-1;0
130000;25;1;0
230000;36;-2;0
250000;40;1;0
380000;33;-1;0
130000;28;-1;0
310000;43;-1;0
220000;45;1;0
340000;27;0;0
80000;29;0;0
20000;42;0;0
80000;38;2;1
150000;39;1;0
60000;30;0;0
200000;30;-2;0
50000;31;1;0
150000;37;0;0
220000;54;-1;0
330000;27;0;0
80000;39;-1;0
120000;47;1;1
60000;28;0;0
100000;34;2;1
500000;48;-1;0
30000;45;0;0
90000;34;-2;0
210000;36;-1;0
10000;42;1;0
230000;35;-1;0
160000;28;-1;0
180000;27;-1;0
70000;24;0;0
200000;29;0;0
140000;45;0;0
130000;23;-2;0
110000;29;1;0
70000;35;0;0
220000;32;0;0
50000;49;-1;0
360000;34;-1;0
280000;48;-2;0
280000;32;0;0
360000;36;0;0
30000;35;2;1
30000;47;-1;0
620000;39;0;0
100000;28;2;1
20000;30;1;1
240000;39;0;0
50000;25;0;0
60000;41;0;0
100000;31;0;0
230000;32;-1;0
30000;42;3;0
420000;34;0;0
260000;40;0;0
340000;29;0;0
20000;22;1;1
420000;42;0;0
50000;29;-1;0
50000;25;0;0
300000;42;1;0
30000;34;-1;0
170000;26;0;0
20000;23;0;0
80000;29;-1;0
50000;25;0;0
20000;31;-1;0
160000;42;-2;0
110000;36;0;0
110000;25;2;1
50000;39;0;0
60000;39;0;0
130000;26;0;0
230000;35;-1;0
80000;23;0;0
20000;27;3;1
360000;35;0;0
150000;30;-2;0
120000;32;0;0
210000;27;0;0
100000;29;-1;0
20000;23;0;0
210000;41;0;0
130000;30;0;0
70000;24;0;0
20000;22;0;0
20000;29;0;0
50000;50;0;0
280000;32;-2;0
20000;48;0;0
250000;37;0;0
50000;29;2;1
210000;34;0;0
150000;24;-2;0
290000;38;2;1
50000;39;0;0
70000;42;0;0
120000;27;-1;0
160000;39;0;0
60000;40;0;0
100000;48;-1;0
500000;38;0;0
450000;35;0;0
430000;42;2;1
150000;35;0;0
200000;26;-1;0
180000;35;-1;0
120000;27;0;0
30000;25;0;0
200000;25;0;0
10000;22;2;1
300000;33;0;0
200000;34;0;0
50000;31;0;0
50000;30;0;0
80000;42;0;0
180000;44;-1;0
100000;30;1;0
110000;46;-1;0
160000;32;0;0
130000;29;1;0
340000;37;0;0
50000;47;2;1
100000;25;2;1
110000;26;0;0
290000;29;0;0
40000;26;1;0
20000;28;1;0
260000;44;0;0
210000;35;-2;0
370000;36;0;0
150000;45;1;0
80000;45;0;0
230000;41;-2;0
220000;32;1;0
70000;30;0;0
150000;42;-1;0
40000;23;2;1
210000;36;-2;0
280000;62;2;1
50000;35;1;0
20000;40;-1;0
90000;45;1;0
50000;23;0;0
350000;50;-1;0
30000;29;2;1
20000;23;0;0
50000;34;1;0
200000;58;-1;0
190000;40;0;0
360000;39;-1;0
120000;42;0;0
10000;53;-1;0
130000;25;0;0
320000;41;0;0
100000;33;2;1
300000;34;2;1
210000;32;-1;0
50000;28;0;0
320000;37;-2;0
350000;42;-1;0
410000;37;-1;0
20000;23;2;1
200000;27;0;0
360000;53;-1;0
400000;41;-1;0
200000;32;-1;0
290000;44;-2;0
10000;26;0;0
320000;46;0;0
280000;26;0;0
110000;26;0;0
200000;44;-1;0
50000;27;0;0
50000;25;0;0
200000;44;-1;0
180000;29;0;0
230000;27;0;0
80000;27;0;0
50000;37;0;0
500000;35;-2;0
20000;45;-1;0
120000;39;-1;0
290000;37;0;0
100000;29;2;1
80000;32;-1;0
30000;45;0;0
100000;36;2;1
20000;58;0;0
230000;45;0;0
30000;48;0;0
60000;49;1;1
140000;35;0;0
50000;40;0;0
20000;36;0;0
130000;28;0;0
160000;52;0;0
120000;41;0;0
140000;32;0;0
130000;28;0;0
190000;30;0;0
50000;24;0;0
500000;29;-1;0
50000;35;0;0
100000;24;2;1
160000;24;0;0
60000;53;0;0
260000;33;0;0
90000;30;-1;0
200000;30;2;0
300000;28;0;0
30000;23;0;0
100000;58;1;0
310000;33;0;0
90000;48;0;0
50000;36;0;0
360000;37;-2;0
230000;31;0;0
90000;45;0;0
290000;52;-1;0
170000;28;-2;0
150000;32;0;0
330000;53;1;0
80000;23;0;0
50000;26;3;1
20000;36;0;0
80000;44;0;0
90000;32;2;1
10000;30;0;1
130000;34;1;0
50000;24;-1;0
260000;29;0;0
50000;42;0;0
340000;29;0;0
280000;27;-2;0
50000;23;0;0
20000;29;0;0
240000;46;0;1
100000;45;1;1
30000;40;-1;0
500000;44;-1;0
320000;40;1;1
310000;37;0;0
120000;54;0;0
50000;35;0;0
50000;25;-1;0
200000;40;0;0
90000;41;1;0
30000;27;0;0
50000;25;0;0
450000;32;0;0
70000;38;0;0
10000;34;0;0
30000;54;0;1
20000;24;1;0
90000;25;0;0
300000;44;0;0
330000;32;-1;0
300000;38;0;0
500000;42;0;0
50000;58;0;0
20000;27;0;0
160000;42;1;0
60000;23;0;0
380000;33;0;0
390000;36;1;0
30000;28;1;0
100000;46;2;1
160000;35;0;0
50000;43;1;0
20000;21;0;0
260000;27;-1;0
70000;26;0;0
300000;37;0;0
210000;27;0;0
470000;33;-1;0
300000;28;-2;0
50000;50;0;0
50000;31;0;0
420000;47;-1;0
190000;35;0;0
220000;48;3;1
20000;34;1;0
110000;39;0;0
60000;56;0;1
480000;40;0;0
100000;32;0;0
260000;38;-1;0
180000;25;0;0
140000;27;2;0
130000;47;2;1
80000;29;0;0
200000;35;2;1
230000;32;-2;0
170000;43;-1;0
210000;37;1;0
100000;45;0;0
200000;38;-1;0
360000;28;-1;0
500000;39;-1;0
150000;33;-2;0
150000;29;0;0
340000;43;0;0
20000;44;-1;0
160000;28;-1;0
20000;42;2;1
20000;37;0;0
250000;24;2;1
30000;25;0;0
140000;41;-1;0
500000;31;0;0
140000;29;1;0
60000;49;0;0
340000;62;0;0
30000;29;1;1
170000;35;-1;0
230000;26;-1;1
120000;37;-1;0
280000;38;-1;1
80000;29;1;0
150000;37;-1;0
210000;35;-1;0
20000;31;0;0
310000;29;0;0
330000;33;0;0
210000;33;1;1
70000;31;0;0
160000;42;-1;0
80000;29;0;0
120000;34;0;0
10000;22;0;0
150000;41;-2;0
300000;40;-1;0
20000;24;-1;0
30000;42;1;1
110000;43;0;0
50000;47;0;0
130000;39;-2;0
260000;32;0;0
50000;38;0;0
50000;50;2;1
50000;51;1;1
30000;22;-1;1
160000;23;0;0
120000;26;0;0
200000;28;1;1
90000;40;1;0
60000;41;0;0
260000;26;0;0
400000;38;-2;0
50000;35;0;0
360000;38;-1;0
230000;39;0;0
290000;34;-1;0
320000;42;-1;0
180000;29;-2;0
50000;37;0;0
500000;33;0;0
200000;30;0;0
300000;42;0;0
140000;48;0;0
80000;28;1;0
20000;24;1;0
180000;36;1;0
30000;30;1;1
270000;35;0;0
190000;39;0;0
250000;40;1;0
180000;30;1;0
260000;31;0;0
520000;38;0;0
350000;49;-2;0
50000;58;-1;0
500000;50;2;1
50000;52;0;0
110000;51;0;0
80000;60;0;0
20000;23;2;1
20000;27;0;0
430000;27;-2;0
90000;26;0;0
200000;33;-1;0
310000;34;0;0
130000;37;0;0
60000;42;0;0
80000;31;2;1
50000;25;0;0
30000;25;1;0
210000;29;0;0
20000;24;0;0
20000;31;1;1
50000;21;0;0
50000;30;1;0
340000;27;0;0
100000;23;2;1
200000;25;0;0
50000;23;1;0
140000;28;0;0
300000;27;1;0
50000;27;1;0
360000;29;0;0
200000;28;0;0
200000;28;0;0
360000;28;0;0
150000;29;0;0
20000;24;0;0
180000;30;0;0
90000;29;0;0
410000;37;0;0
60000;26;0;0
110000;32;3;0
100000;36;0;0
500000;30;0;0
50000;38;0;0
80000;38;0;0
30000;37;1;0
30000;49;0;0
140000;33;0;0
90000;47;0;0
200000;26;-1;0
100000;29;-1;0
80000;26;0;0
500000;39;0;0
200000;46;-1;0
50000;47;0;0
300000;30;-2;0
50000;30;0;0
10000;37;-1;0
370000;45;0;0
60000;36;0;0
360000;41;0;0
290000;30;-1;0
60000;38;0;0
140000;32;0;0
150000;34;0;0
10000;49;0;0
360000;35;-2;0
160000;47;0;0
200000;41;-2;0
80000;35;-2;0
50000;38;2;1
30000;31;0;0
200000;31;-1;0
150000;34;2;1
30000;33;2;1
110000;40;0;0
130000;37;0;0
500000;31;0;0
280000;49;0;0
160000;29;-1;0
80000;40;-1;0
140000;34;0;0
250000;51;-2;0
130000;51;0;0
240000;55;0;0
20000;26;1;0
10000;23;-1;0
10000;25;0;0
20000;23;1;1
500000;26;0;0
30000;27;1;0
20000;30;1;1
130000;25;0;0
50000;27;0;0
20000;29;0;0
400000;29;0;0
50000;25;0;0
20000;28;3;1
10000;28;-1;0
200000;29;-2;1
120000;35;-1;1
20000;30;0;0
