;LIMIT_BAL;AGE;PAY_0;default_payment
2143;400000;30;-1;0
2581;400000;30;-1;0
625;400000;37;-2;0
1379;400000;38;-2;0
1774;400000;45;-2;0
2016;400000;34;-2;0
2311;400000;35;-2;0
143;390000;40;1;0
1295;390000;36;1;0
426;390000;28;0;0
481;390000;37;0;0
1783;390000;34;0;0
2079;390000;39;0;0
2423;390000;31;0;0
2592;390000;41;0;0
786;390000;53;-1;0
1876;390000;41;-2;0
2228;390000;34;-2;0
1548;380000;31;1;0
2221;380000;47;1;0
512;380000;30;0;0
726;380000;31;0;0
1294;380000;33;0;0
2383;380000;40;0;0
205;380000;45;-1;0
594;380000;32;-1;0
852;380000;27;-1;0
1033;380000;33;-1;0
1987;380000;27;-1;0
237;380000;34;-2;0
2285;380000;27;-2;0
2356;380000;36;-2;0
703;370000;28;0;0
1160;370000;36;0;0
1458;370000;45;0;0
2563;370000;38;0;0
75;370000;38;-1;0
109;370000;53;-1;0
2610;370000;46;-2;0
202;360000;27;1;0
322;360000;28;1;0
638;360000;35;1;0
701;360000;33;1;0
1910;360000;54;1;0
1924;360000;44;1;0
2142;360000;29;1;0
2191;360000;31;1;0
112;360000;42;0;0
315;360000;30;0;0
702;360000;41;0;0
728;360000;48;0;0
1071;360000;36;0;0
1106;360000;35;0;0
1430;360000;29;0;0
1433;360000;28;0;0
1460;360000;41;0;0
1753;360000;32;0;0
1754;360000;32;0;0
1769;360000;28;0;0
1860;360000;33;0;0
1891;360000;35;0;0
2187;360000;29;0;0
2362;360000;38;0;0
2411;360000;34;0;0
7;360000;43;-1;0
134;360000;50;-1;0
197;360000;35;-1;0
222;360000;39;-1;0
242;360000;37;-1;0
317;360000;34;-1;0
670;360000;33;-1;0
766;360000;30;-1;0
873;360000;34;-1;0
935;360000;29;-1;0
1025;360000;46;-1;0
1068;360000;34;-1;0
1180;360000;39;-1;0
1194;360000;53;-1;0
1328;360000;28;-1;0
1381;360000;38;-1;0
1583;360000;37;-1;0
1856;360000;40;-1;0
1888;360000;45;-1;0
1903;360000;50;-1;0
2018;360000;34;-1;0
2102;360000;40;-1;0
2188;360000;33;-1;0
2194;360000;34;-1;0
2224;360000;39;-1;0
2494;360000;37;-1;0
2655;360000;54;-1;0
2657;360000;56;-1;0
590;360000;27;-2;0
631;360000;29;-2;0
794;360000;42;-2;0
1246;360000;37;-2;0
1466;360000;35;-2;0
1614;360000;42;-2;0
1715;360000;43;-2;0
1799;360000;44;-2;0
1878;360000;46;-2;0
2019;360000;43;-2;0
2114;360000;40;-2;0
2348;360000;38;-2;0
2369;360000;37;-2;0
2491;360000;35;-2;0
2696;360000;36;-2;0
433;350000;31;2;0
32;350000;38;1;0
2250;350000;38;1;0
413;350000;30;0;0
1002;350000;31;0;0
1520;350000;51;0;0
1751;350000;36;0;0
2435;350000;42;0;0
2443;350000;32;0;0
9;350000;52;-1;0
541;350000;55;-1;0
1174;350000;50;-1;0
